Sample Name Full,% GC,? 30X,Coverage,% Aligned,M Aligned,Error rate,% Assigned,M Assigned,aligned,Sample Name
X12_S12.sort,,,,95.10%,28.2,0.02%,50.30%,18.4,0.951,X12_S12
X12_S12_BAMqc,47%,0.30%,0.0X,,,,,,0,X12_S12_
X13_S13.sort,,,,96.00%,32.1,0.02%,58.00%,22.8,0.96,X13_S13
X13_S13_BAMqc,49%,0.40%,0.0X,,,,,,0,X13_S13_
X14_S14.sort,,,,95.10%,26.9,0.02%,60.20%,19.5,0.951,X14_S14
X14_S14_BAMqc,49%,0.40%,0.0X,,,,,,0,X14_S14_
X15_S15.sort,,,,96.70%,30.6,0.02%,58.40%,22.2,0.967,X15_S15
X15_S15_BAMqc,48%,0.40%,0.0X,,,,,,0,X15_S15_
X16_S16.sort,,,,92.60%,23.3,0.03%,47.00%,14.7,0.926,X16_S16
X16_S16_BAMqc,47%,0.30%,0.0X,,,,,,0,X16_S16_
X17_S17.sort,,,,95.10%,28.5,0.02%,59.70%,20.6,0.951,X17_S17
X17_S17_BAMqc,50%,0.40%,0.0X,,,,,,0,X17_S17_
X18_S18.sort,,,,95.20%,29.8,0.02%,57.00%,21,0.952,X18_S18
X18_S18_BAMqc,49%,0.40%,0.0X,,,,,,0,X18_S18_
X1_S1.sort,,,,96.20%,30,0.02%,59.50%,21.6,0.962,X1_S1
X1_S1_BAMqc,49%,0.40%,0.0X,,,,,,0,X1_S1_
X2_S2.sort,,,,95.70%,23.1,0.02%,59.30%,16.5,0.957,X2_S2
X2_S2_BAMqc,49%,0.30%,0.0X,,,,,,0,X2_S2_
X3_S3.sort,,,,96.10%,30.2,0.02%,61.80%,22.3,0.961,X3_S3
X3_S3_BAMqc,50%,0.40%,0.0X,,,,,,0,X3_S3_
X4_S4.sort,,,,96.30%,28.4,0.02%,59.80%,20.6,0.963,X4_S4
X4_S4_BAMqc,49%,0.40%,0.0X,,,,,,0,X4_S4_
X5_S5.sort,,,,95.80%,25.4,0.02%,58.50%,18.3,0.958,X5_S5
X5_S5_BAMqc,49%,0.30%,0.0X,,,,,,0,X5_S5_
X6_S6.sort,,,,96.20%,27.1,0.01%,61.80%,20.3,0.962,X6_S6
X6_S6_BAMqc,50%,0.40%,0.0X,,,,,,0,X6_S6_
X7_S7.sort,,,,95.90%,29.2,0.02%,56.20%,20.2,0.959,X7_S7
X7_S7_BAMqc,48%,0.40%,0.0X,,,,,,0,X7_S7_
X8_S8.sort,,,,92.10%,26.1,0.02%,53.80%,18.2,0.921,X8_S8
X8_S8_BAMqc,50%,0.30%,0.0X,,,,,,0,X8_S8_
X9_S9.sort,,,,97.20%,30.4,0.01%,62.70%,23.3,0.972,X9_S9
X9_S9_BAMqc,49%,0.40%,0.0X,,,,,,0,X9_S9_
